True Label,antelope,badger,bat,bear,bee,beetle,bison,boar,butterfly,cat,caterpillar,chimpanzee,cockroach,cow,coyote,crab,crow,deer,dog,dolphin,donkey,dragonfly,duck,eagle,elephant,flamingo,fly,fox,goat,goldfish,goose,gorilla,grasshopper,hamster,hare,hedgehog,hippopotamus,hornbill,horse,hummingbird,hyena,jellyfish,kangaroo,koala,ladybugs,leopard,lion,lizard,lobster,mosquito,moth,mouse,octopus,okapi,orangutan,otter,owl,ox,oyster,panda,parrot,pelecaniformes,penguin,pig,pigeon,porcupine,possum,raccoon,rat,reindeer,rhinoceros,sandpiper,seahorse,seal,shark,sheep,snake,sparrow,squid,squirrel,starfish,swan,tiger,turkey,turtle,unknown,whale,wolf,wombat,woodpecker,zebra,Total
caterpillar,0,0,0,1,0,2,0,0,0,0,13,1,1,0,0,0,0,1,2,0,0,1,2,0,0,0,2,0,1,0,0,1,0,5,0,0,0,1,0,1,4,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,60
chimpanzee,1,0,1,0,1,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,1,2,0,0,3,0,0,3,0,1,1,0,0,0,0,2,1,1,2,0,2,0,0,3,0,0,0,1,2,1,2,3,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,1,0,60
cockroach,0,0,0,0,0,0,1,1,0,1,0,0,9,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,3,0,0,0,4,0,0,0,0,0,0,2,1,0,1,1,1,1,1,3,2,1,0,0,1,2,0,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,60
cow,0,2,2,0,1,1,0,0,0,3,3,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,2,0,0,0,1,0,2,1,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,1,2,0,1,0,0,0,2,1,0,1,1,0,0,2,3,0,0,0,60
coyote,2,1,0,0,0,0,0,1,0,0,2,0,0,0,8,2,1,1,0,0,2,0,1,0,1,0,1,2,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,3,1,0,0,0,1,1,1,0,0,0,2,3,1,0,60
crab,0,0,1,1,2,0,0,1,0,0,0,1,1,0,1,7,1,1,0,0,0,1,0,0,0,2,0,0,1,0,1,2,2,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,2,0,1,1,0,4,0,2,0,0,1,1,1,1,0,1,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,1,0,0,60
crow,0,0,0,0,0,1,0,0,2,4,0,0,0,3,1,0,6,1,0,0,2,0,0,1,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,3,2,1,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,1,0,2,0,0,1,0,1,0,2,0,2,0,1,1,1,0,0,1,2,0,0,1,60
deer,0,0,2,1,1,1,0,2,1,0,0,2,0,1,0,2,1,8,1,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,2,1,0,0,0,0,1,0,1,1,0,2,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,2,0,0,0,1,1,0,0,60
dog,0,1,0,0,1,0,1,0,0,1,2,0,1,1,1,0,0,0,8,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,3,1,1,1,0,1,0,0,1,1,0,1,2,0,0,0,0,1,2,1,2,0,0,1,0,2,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,3,0,1,1,60
dolphin,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0,2,3,1,13,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,1,0,0,1,0,0,0,3,0,5,1,0,0,0,60
